prefix	duration_sec	gauge_im_ws_connections_active_max	gauge_im_hub_task_pool_running_max	gauge_im_hub_task_pool_waiting_max	gauge_im_kafka_consumer_lag_max	gauge_im_db_pool_in_use_connections_max	counter_im_ws_connections_total_delta	counter_im_ws_read_messages_total_delta	counter_im_ws_write_messages_total_delta	counter_im_ws_read_errors_total_delta	counter_im_hub_dispatched_messages_total_delta	counter_im_kafka_produce_total_delta	counter_im_kafka_consume_total_delta	counter_im_redis_ops_total_delta	hist_im_db_query_duration_seconds_avg_ms	hist_im_redis_latency_seconds_avg_ms	hist_im_kafka_produce_latency_seconds_avg_ms	hist_im_kafka_consume_latency_seconds_avg_ms	hist_im_hub_dispatch_latency_seconds_avg_ms
http_05vu	33.808	0	0	0	0	4								333	0.48542022021054926	0.1930962582582515			
http_10vu	33.957	0	0	0	0	9								415	1.3564255437842856	0.720162677108496			
http_20vu	33.958	0	0	0	0	19								410	3.393514813075068	1.078937946341484			
http_50vu	39.963	0	0	0	0	50								245	8.844665660847037	2.317280432653113			
wsconn_10vu	29.958	10	0	0	0	0	10			10				20	0.4882033000285446	0.6827569999984462			
wsconn_50vu	23.96	50	0	0	0	0	50			50				100	1.9780400900526727	1.4111801700016713			
wsconn_100vu	23.904	100	0	0	0	0	100			100				200	8.42263731497951	1.2821229449997418			
wsconn_200vu	29.961	200	0	0	0	0	200			200				400	9.271735252500548	15.145109267499492			
wsconn_300vu	33.965	300	0	0	0	0	300			300				600	11.839943031664006	13.990782268333533			
wsconn_400vu	29.969	400	0	0	0	0	400			400				800	15.890184943752956	18.543975518749676			
wsconn_500vu	29.969	500	0	0	0	0	500			500				1000	17.6804643389969	26.7273464579996			
wsmsg_50rps	23.955	9	1	0	0	0		540	4860		4860	540	486	575	1.5686709355049384	0.0899424521740793	0.007179751851848637	3.210196890945329	0.000038744444444456566
wsmsg_100rps	23.954	9	1	0	0	0		1116	10044		10044	1116	1097	1153	2.231152187448515	0.0850373365136396	0.004250021505378867	1.8723152388326991	0.0000416254480286828
wsmsg_200rps	23.951	9	1	0	0	0		2214	19926		19926	2214	2100	2265	2.3878536443791947	0.09411115408363684	0.003888292682926243	3.419220726190512	0.00004170280036135176
wsmsg_500rps	23.961	9	1	0	0	0		5713	51417		51417	5713	5700	5768	2.0218798493522327	0.0854498897361732	0.00343619341852005	2.030115025439049	0.000037838788727481296
broadcast_10	70.123	11	1	0	0	0	11	713	5580	11	5580	713	713	873	4.93554401123475	0.2220688579621103	0.01000083169705449	11.592340750351196	0.00006434081346423428
broadcast_100	70.156	100	1	0	0	0	100	957	71003	100	71003	957	957	1361	0.8859902862602163	0.2579706914030867	0.00935684430511759	7.403366214210174	0.000042065830721003276
broadcast_500	70.215	500	256	0	0	0	500	1001	356788	500	356788	1001	1001	2522	1.4812742346800425	2.8164578219666883	0.009312165834168213	7.309097453547249	0.00004350449550438202
broadcast_1000	70.339	902	256	0	0	1	903	1007	672806	903	672806	1007	1007	3738	0.6004195994677123	3.5186509914388977	0.010288860973183869	7.440060016882041	0.00004726017874875658
