LOAD_T0=1789648704033
GO_LOAD elapsed=10s active=928 opened=928 handshake_failures=0 early_closed=0 pings=0
GO_LOAD elapsed=30s active=2780 opened=2780 handshake_failures=0 early_closed=0 pings=280
GO_LOAD elapsed=50s active=4632 opened=4632 handshake_failures=0 early_closed=0 pings=2131
GO_LOAD elapsed=70s active=6483 opened=6483 handshake_failures=0 early_closed=0 pings=5466
GO_LOAD elapsed=90s active=8335 opened=8335 handshake_failures=0 early_closed=0 pings=10005
GO_LOAD elapsed=110s active=10000 opened=10000 handshake_failures=0 early_closed=0 pings=15748
GO_LOAD elapsed=130s active=10000 opened=10000 handshake_failures=0 early_closed=0 pings=23156
GO_LOAD elapsed=150s active=10000 opened=10000 handshake_failures=0 early_closed=0 pings=30564
GO_LOAD elapsed=170s active=10000 opened=10000 handshake_failures=0 early_closed=0 pings=37972
GO_LOAD elapsed=190s active=10000 opened=10000 handshake_failures=0 early_closed=0 pings=45376
GO_LOAD elapsed=210s active=10000 opened=10000 handshake_failures=0 early_closed=0 pings=52784
GO_LOAD elapsed=230s active=10000 opened=10000 handshake_failures=0 early_closed=0 pings=60192
GO_LOAD elapsed=250s active=10000 opened=10000 handshake_failures=0 early_closed=0 pings=67600
GO_LOAD elapsed=270s active=10000 opened=10000 handshake_failures=0 early_closed=0 pings=75007
GO_LOAD elapsed=290s active=10000 opened=10000 handshake_failures=0 early_closed=0 pings=82416
GO_LOAD elapsed=310s active=10000 opened=10000 handshake_failures=0 early_closed=0 pings=89823
GO_LOAD elapsed=330s active=10000 opened=10000 handshake_failures=0 early_closed=0 pings=97229
GO_LOAD elapsed=350s active=10000 opened=10000 handshake_failures=0 early_closed=0 pings=104636
GO_LOAD elapsed=370s active=10000 opened=10000 handshake_failures=0 early_closed=0 pings=112044
GO_LOAD elapsed=390s active=10000 opened=10000 handshake_failures=0 early_closed=0 pings=119452
GO_LOAD elapsed=410s active=10000 opened=10000 handshake_failures=0 early_closed=0 pings=126860
GO_LOAD elapsed=430s active=10000 opened=10000 handshake_failures=0 early_closed=0 pings=134268
GO_LOAD elapsed=450s active=10000 opened=10000 handshake_failures=0 early_closed=0 pings=141675
GO_LOAD elapsed=470s active=10000 opened=10000 handshake_failures=0 early_closed=0 pings=149081
GO_LOAD elapsed=490s active=10000 opened=10000 handshake_failures=0 early_closed=0 pings=156488
GO_LOAD elapsed=510s active=10000 opened=10000 handshake_failures=0 early_closed=0 pings=163896
GO_LOAD elapsed=530s active=10000 opened=10000 handshake_failures=0 early_closed=0 pings=171304
GO_LOAD elapsed=550s active=10000 opened=10000 handshake_failures=0 early_closed=0 pings=178712
GO_LOAD elapsed=570s active=10000 opened=10000 handshake_failures=0 early_closed=0 pings=186120
GO_LOAD elapsed=590s active=10000 opened=10000 handshake_failures=0 early_closed=0 pings=193526
GO_LOAD elapsed=610s active=10000 opened=10000 handshake_failures=0 early_closed=0 pings=200932
GO_LOAD elapsed=630s active=10000 opened=10000 handshake_failures=0 early_closed=0 pings=208340
GO_LOAD elapsed=650s active=10000 opened=10000 handshake_failures=0 early_closed=0 pings=215748
GO_LOAD elapsed=670s active=10000 opened=10000 handshake_failures=0 early_closed=0 pings=223156
GO_LOAD elapsed=690s active=10000 opened=10000 handshake_failures=0 early_closed=0 pings=230564
GO_LOAD elapsed=710s active=10000 opened=10000 handshake_failures=0 early_closed=0 pings=237972
